Y1,Y2
阿其所好,5
阿权膴仕,7
阿时趋俗,3
阿世媚俗,5
阿世取容,3
阿意取容,3
阿谀,7
阿谀谄媚,5
阿谀逢迎,5
阿谀奉承,5
阿谀取容,5
阿谀顺旨,5
阿尊事贵,5
哀哀切切,9
哀嚎,9
哀鸿遍野,7
哀梨蒸食,7
哀悯,5
哀莫大于心死,9
哀婉,1
哀怨,5
唉声叹气,5
矮墩墩,1
矮人看场,5
矮子看戏,5
爱博而情不专,5
爱财如命,5
爱搭不理,5
爱发牢骚,3
爱富嫌贫,5
爱管闲事,3
爱鹤失众,5
爱理不理,1
爱毛反裘,9
爱面子,3
爱慕虚荣,8
爱则加诸膝，恶则坠诸渊,7
爱之欲其生，恶之欲其死,7
碍事,3
碍手碍脚,5
碍眼,5
碍足碍手,5
暧昧不明,3
安故重迁,5
安于,3
安于故俗，溺于旧闻,5
安于现状,3
安之若命,3
安坐待毙,5
葊陋,5
岸然道貌,5
按部就班,3
按图所骏,3
按图索骥,5
案犯,5
暗藏,1
暗娼,5
暗沉沉,7
暗锤打人,5
暗淡,1
暗地,3
暗地里,3
暗度陈仓,8
暗害,3
暗箭,9
暗箭难防,5
暗箭伤人,5
暗礁险滩,7
暗里,3
暗昧,5
暗昧之事,5
暗弱,7
暗弱无断,5
暗事,3
暗室亏心,5
暗送秋波,5
暗算,3
暗无天日,7
暗笑,3
黯淡,1
黯然,5
黯然伤神,9
黯然失色,5
肮里肮脏,5
肮脏,9
昂首天外,5
昂首望天,5
昂头天外,5
熬磨,5
熬心,3
傲岸,5
傲慢,7
傲慢不逊,5
傲慢少礼,5
傲慢无礼,7
傲睨得志,5
傲睨万物,5
傲睨一切,5
傲睨一世,5
傲睨自若,5
傲气,5
傲世轻物,5
傲视,1
傲视轻物,5
傲头傲脑,5
傲物,5
傲贤慢士,5
傲一天和尚撞一天钟,5
懊糟,3
八股,3
八卦,5
八面光,5
八面见光,3
八面圆通,3
八婆,3
八砖学士,5
巴儿狗,3
巴结,5
巴人下里,5
扒高踩低,5
扒皮,3
扒窃,7
扒手,7
拔本塞源,3
拔葵啖枣,5
拔葵去织,7
拔了萝卜地皮宽,5
拔苗助长,5
跋扈,5
跋扈飞扬,5
跋扈自恣,5
跋扈恣睢,5
跋前踬后,7
把持,3
把头,5
把戏,5
罢黜,5
罢免,5
罢职,5
霸持,3
霸道,5
霸道横行,5
霸气,3
霸王别姬,5
霸王风月,7
霸占,5
霸主,5
白璧微瑕,3
白痴,7
白痴般,5
白搭,1
白党,5
白丁,1
白丁俗客,5
白费,3
白骨露野,9
白区,1
白日见鬼,3
白日做梦,7
白日做梦－胡思乱想,5
白眼,5
白字,1
百般刁难,5
百般奉承,3
百弊丛生,5
百辞莫辩,7
百孔千疮,5
百口莫辩,7
百里之才,1
百舍重趼,5
百思不解,5
百无一成,7
百无一能,1
百无一是,7
百无一用,7
百星不如一月,5
百依百顺,3
百约百叛,9
百足之虫，死而不僵,7
摆布,7
摆份儿,1
摆架子,5
摆款儿,1
摆阔,3
摆门面,5
摆普儿,3
摆谱儿,5
摆脱,5
摆样子,5
败北,3
败笔,3
败材伤锦,5
败德辱行,5
败国丧家,5
败国亡家,5
败化伤风,5
败坏,5
败家,5
败家子,7
败将,5
败军,5
败军之将,5
败柳残花,5
败落,7
败事有馀，成事不足,9
败俗伤风,5
败俗伤化,5
败诉,8
败退,1
败兴,1
败絮,7
败叶,1
败仗,5
败阵,5
败子,5
败走,8
拜忏,3
拜赐之师,5
拜金,5
拜物教,5
班门弄斧,5
搬唇递舌,5
搬脣递舌,7
搬脣弄舌,5
搬斤播两,5
搬口弄舌,5
搬弄,5
搬弄是非,5
搬石砸脚,5
板板六十四,5
板荡,7
板着脸,5
板着面孔,5
板滞,3
版版六十四,3
半半拉拉,5
半痴不癫,3
半吊子,5
半封建,3
半疯儿,1
半间不界,5
半路出家,3
半路劫胡,8
半上落下,5
半身不遂,5
半衰期,5
半死半生,5
半途而废,5
半涂而废,7
半推半就,5
半文盲,5
伴食宰相,5
伴食中书,5
拌嘴,3
绊脚石,5
帮倒忙,5
帮虎吃食,5
帮派,1
帮腔,5
帮闲,5
帮闲钻懒,5
帮凶,7
绑匪,5
绑架,5
绑票,5
棒打鸳鸯,5
棒喝,5
傍人篱壁,3
傍人篱落,5
傍人门户,3
谤毁,5
谤书,5
谤议,3
包办代替,5
包庇,3
包藏祸心,5
包藏奸心,5
包打天下,5
包打听,5
苞苴竿牍,5
薄唇轻言,5
薄命,7
